RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Position,Event
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Alex THEPOT,GK,
201,1096,MEX,LUQUE Juan (MEX),S,0,Oscar BONFIGLIO,GK,
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Marcel LANGILLER,GK,G40'
201,1096,MEX,LUQUE Juan (MEX),S,0,Juan CARRENO,GK,G70'
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Ernest LIBERATI,GK,G70'
201,1096,MEX,LUQUE Juan (MEX),S,0,Rafael GARZA,C,G70'
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Andre MASCHINOT,C,G43' G87'
201,1096,MEX,LUQUE Juan (MEX),S,0,Hilario LOPEZ,C,G43' G87'
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Etienne MATTLER,C,G43' G87'
201,1096,MEX,LUQUE Juan (MEX),S,0,Dionisio MEJIA,C,G43' G87'
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Marcel PINEL,C,G43' G87'
201,1096,MEX,LUQUE Juan (MEX),S,0,Felipe ROSAS,C,G43' G87'
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Alex VILLAPLANE,C,G43' G87'
201,1096,MEX,LUQUE Juan (MEX),S,0,Manuel ROSAS,C,G43' G87'
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Lucien LAURENT,C,G19'
201,1096,MEX,LUQUE Juan (MEX),S,0,Jose RUIZ,C,G19'
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Marcel CAPELLE,C,G19'
201,1096,MEX,LUQUE Juan (MEX),S,0,Alfredo SANCHEZ,C,G19'
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Augustin CHANTREL,C,G19'
201,1096,MEX,LUQUE Juan (MEX),S,0,Efrain AMEZCUA,C,G19'
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Edmond DELFOUR,C,G19'
201,1096,MEX,LUQUE Juan (MEX),S,0,Luis PEREZ,C,G19'
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Celestin DELMER,C,G19'
201,1096,MEX,LUQUE Juan (MEX),N,0,Isidoro SOTA,C,G19'
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Andre TASSIN,C,G19'
201,1096,MEX,LUQUE Juan (MEX),N,0,Jesus CASTRO,C,G19'
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Nouma ANDOIRE,C,G19'
201,1096,MEX,LUQUE Juan (MEX),N,0,Felipe OLIVARES,C,G19'
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Jean LAURENT,C,G19'
201,1096,MEX,LUQUE Juan (MEX),N,0,Raimundo RODRIGUEZ,C,G19'
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Emile VEINANTE,C,G19'
201,1096,MEX,LUQUE Juan (MEX),N,0,Roberto GAYON,C,G19'
201,1096,MEX,LUQUE Juan (MEX),N,0,Francisco GARZA GUTIERREZ,C,G19'
201,1090,USA,MILLAR Bob (USA),S,0,Jimmy DOUGLAS,GK,G19'
201,1090,BEL,GOETINCK Hector (BEL),S,0,Arnold BADJOU,GK,G19'
201,1090,USA,MILLAR Bob (USA),S,0,Tom FLORIE,C,G45'
201,1090,BEL,GOETINCK Hector (BEL),S,0,Jean DE CLERQ,C,G45'
201,1090,USA,MILLAR Bob (USA),S,0,Jimmy GALLAGHER,C,G45'
201,1090,BEL,GOETINCK Hector (BEL),S,0,Jan DIDDENS,C,G45'
201,1090,USA,MILLAR Bob (USA),S,0,Billy GONSALVES,C,G45'
201,1090,BEL,GOETINCK Hector (BEL),S,0,Auguste HELLEMANS,C,G45'
201,1090,USA,MILLAR Bob (USA),S,0,Bart McGHEE,C,G23'
201,1090,BEL,GOETINCK Hector (BEL),S,0,Nikolaas HOYDONCKX,C,G23'
201,1090,USA,MILLAR Bob (USA),S,0,George MOORHOUSE,C,G23'
201,1090,BEL,GOETINCK Hector (BEL),S,0,Jacques MOESCHAL,C,G23'
201,1090,USA,MILLAR Bob (USA),S,0,Bert PATENAUDE,C,G69'
201,1090,BEL,GOETINCK Hector (BEL),S,0,Theodore NOUWENS,C,G69'
201,1090,USA,MILLAR Bob (USA),S,0,Ralph TRACY,C,G69'
201,1090,BEL,GOETINCK Hector (BEL),S,0,Fernand ADAMS,C,G69'
201,1090,USA,MILLAR Bob (USA),S,0,Alexander WOOD,C,G69'
